"","gu","dong","total","perc_inv","result"
"410","종로구","종로1.2.3.4가동",149,11.1788617886179,1665.65040650407
"411","종로구","가회동",124,11.1788617886179,1386.17886178862
"412","중구","회현동",148,8.90070921985816,1317.30496453901
"413","종로구","창신1동",114,11.1788617886179,1274.39024390244
"414","중구","필동",141,8.90070921985816,1255
"415","중구","장충동",134,8.90070921985816,1192.69503546099
"416","중구","소공동",120,8.90070921985816,1068.08510638298
"417","중구","광희동",98,8.90070921985816,872.269503546099
"418","종로구","삼청동",68,11.1788617886179,760.162601626016
"419","송파구","가락1동",34,21.0407643312102,715.385987261147
"420","중구","명동",68,8.90070921985816,605.248226950355
"421","중구","신당1동",38,8.90070921985816,338.22695035461
"422","중구","신당2동",38,8.90070921985816,338.22695035461
"423","중구","신당3동",38,8.90070921985816,338.22695035461
"424","중구","신당4동",38,8.90070921985816,338.22695035461
"425","중구","신당6동",38,8.90070921985816,338.22695035461
"426","중구","을지로동",26,8.90070921985816,231.418439716312
"427","강동구","둔촌1동",5,15.7795031055901,78.8975155279503
"428","종로구","종로5·6가동",0,11.1788617886179,0
