"","gu","dong","total","perc_inv","result"
"386","동대문구","휘경1동",186,12.3951473136915,2305.49740034662
"387","성동구","사근동",165,13.939736346516,2300.05649717514
"388","마포구","대흥동",143,15.875,2270.125
"389","중구","동화동",254,8.90070921985816,2260.78014184397
"390","동대문구","회기동",182,12.3951473136915,2255.91681109185
"391","성북구","정릉3동",237,9.26223453370268,2195.14958448753
"392","관악구","중앙동",172,11.622864651774,1999.13272010512
"393","성북구","동선동",215,9.26223453370268,1991.38042474608
"394","종로구","부암동",175,11.1788617886179,1956.30081300813
"395","중구","신당5동",212,8.90070921985816,1886.95035460993
"396","용산구","이태원1동",95,19.2926829268293,1832.80487804878
"397","중구","다산동",202,8.90070921985816,1797.94326241135
"398","성북구","안암동",194,9.26223453370268,1796.87349953832
"399","영등포구","신길4동",119,14.438566552901,1718.18941979522
"400","양천구","신월6동",145,11.4903433476395,1666.09978540773
"401","종로구","창신3동",148,11.1788617886179,1654.47154471545
"402","관악구","신림동",142,11.622864651774,1650.44678055191
"403","강동구","고덕2동",102,15.7795031055901,1609.50931677019
"404","용산구","남영동",79,19.2926829268293,1524.12195121951
"405","종로구","숭인1동",128,11.1788617886179,1430.89430894309
"406","종로구","이화동",118,11.1788617886179,1319.10569105691
"407","구로구","가리봉동",98,12.2261904761905,1198.16666666667
"408","종로구","숭인2동",104,11.1788617886179,1162.60162601626
"409","종로구","창신2동",97,11.1788617886179,1084.34959349594
"410","중구","신당4동",99,8.90070921985816,881.170212765957
"411","종로구","종로1.2.3.4가동",72,11.1788617886179,804.878048780488
"412","종로구","가회동",69,11.1788617886179,771.341463414634
"413","중구","회현동",79,8.90070921985816,703.156028368794
"414","중구","필동",77,8.90070921985816,685.354609929078
"415","종로구","창신1동",56,11.1788617886179,626.016260162602
"416","중구","장충동",66,8.90070921985816,587.446808510638
"417","중구","소공동",62,8.90070921985816,551.843971631206
"418","중구","광희동",57,8.90070921985816,507.340425531915
"419","송파구","가락제1동",22,21.0407643312102,462.896815286624
"420","종로구","삼청동",38,11.1788617886179,424.79674796748
"421","중구","명동",45,8.90070921985816,400.531914893617
"422","종로구","종로5·6가동",35,11.1788617886179,391.260162601626
"423","중구","신당6동",20,8.90070921985816,178.014184397163
"424","중구","신당1동",20,8.90070921985816,178.014184397163
"425","중구","신당2동",20,8.90070921985816,178.014184397163
"426","중구","신당3동",20,8.90070921985816,178.014184397163
"427","중구","을지로동",14,8.90070921985816,124.609929078014
"428","강동구","둔촌1동",6,15.7795031055901,94.6770186335404
